,Game,Copies sold,Release_Date,Genre(s),Developer(s),Publisher(s)
0,Marvel's Spider-Man,20000000.0,2018,Action-adventure,Insomniac Games,Sony Interactive Entertainment
1,God of War,19500000.0,2018,Action-adventure hack and slash,Santa Monica Studio,Sony Interactive Entertainment
2,Uncharted 4: A Thief's End,16000000.0,2016,Action-adventure,Naughty Dog,Sony Interactive Entertainment
3,The Witcher 3: Wild Hunt,10800000.0,2015,Action role-playing,CD Projekt Red,CD Projekt
4,The Last of Us Part II,10000000.0,2020,Action-adventure survival horror,Naughty Dog,Sony Interactive Entertainment
5,Horizon Zero Dawn,10000000.0,2017,Action role-playing,Guerrilla Games,Sony Interactive Entertainment
6,The Last of Us Remastered,10000000.0,2014,Action-adventure survival horror,Naughty Dog,Sony Computer Entertainment
7,Ghost of Tsushima,9730000.0,2020,Action-adventure stealth,Sucker Punch Productions,Sony Interactive Entertainment
8,Star Wars Battlefront,8420000.0,2015,First-person shooter third-person shooter,EA DICE,Electronic Arts
9,Gran Turismo Sport,8000000.0,2017,Racing,Polyphony Digital,Sony Interactive Entertainment
10,Infamous Second Son,6000000.0,2014,Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
11,Detroit: Become Human,5500000.0,2018,Adventure,Quantic Dream,Sony Interactive Entertainment
12,Final Fantasy VII Remake,5000000.0,2020,Action role-playing,Square Enix,Square Enix
13,Monster Hunter: World,4670000.0,2018,Action role-playing,Capcom,Capcom
14,Cyberpunk 2077,3830000.0,2020,Action role-playing,CD Projekt Red,CD Projekt
15,FIFA 17,3120000.0,2016,Sports,EA Canada EA Bucharest,EA Sports
16,Crash Bandicoot N. Sane Trilogy,2500000.0,2017,Platform,Vicarious Visions,Activision
17,Final Fantasy XV,2500000.0,2016,Action role-playing,Square Enix Business Division 2,Square Enix
18,Persona 5 Royal,2300000.0,2019,Role-playing social simulation,P-Studio,Atlus
19,Killzone: Shadow Fall,2100000.0,2013,First-person shooter,Guerrilla Games,Sony Computer Entertainment
20,Grand Theft Auto V,2020000.0,2014,Action-adventure,Rockstar North,Rockstar Games
21,Bloodborne,2000000.0,2015,Action role-playing,FromSoftware,Sony Computer Entertainment
22,Driveclub,2000000.0,2014,Racing,Evolution Studios,Sony Computer Entertainment
23,Knack,2000000.0,2013,Platform beat 'em up,Japan Studio,Sony Computer Entertainment
24,Minecraft: PlayStation 4 Edition,2000000.0,2014,Sandbox survival,4J Studios,Sony Computer Entertainment
25,Nier: Automata,1600000.0,2017,Action role-playing,PlatinumGames,Square Enix
26,Nioh 2,1400000.0,2020,Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
27,Battlefield 1,1300000.0,2016,First-person shooter,EA DICE,Electronic Arts
28,Dragon Quest XI: Echoes of an Elusive Age,1300000.0,2017,Role-playing,Square Enix,Square Enix
29,Metal Gear Solid V: The Phantom Pain,1100000.0,2015,Action-adventure stealth,Kojima Productions,Konami
30,Final Fantasy XII: The Zodiac Age,1000000.0,2017,Role-playing,Square Enix,Square Enix
31,Kingdom Hearts III,1000000.0,2019,Action role-playing,Square Enix,Square Enix
32,Nioh,1000000.0,2017,Action role-playing,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
